*customerName,customerPhone,customerEmail,customerAddress
Pran RFL (Banga bakers),,,"Kallayanpur, Dhaka"
M/S Fatema senatary& Hardware,,,"Bolibhodro bazar, Savar"
M/S Bondhu traders (Arif-bogura),,,"Sharepur, Bogura"
M/S Nessariya Corporation,,," Borobari,Gazipur"
M/S Fashion syndicate( Minhaz ),,,"Ashulia, Savar"
M/S Chittagong Hardware,,,Eastern housing
M/S Shaon Enterprise,,,North Badda
M/S Mukul Enterprise,,,Uttora
M/S Al-Razin Enterprise,,,"Kapashiya, Gazipur"
M/S Tasnim Enterprise(Nazrul),,,"Nabinagar, Shavar"
M/S Khuku Enterprise,,,"Bawniyabad, Turag"
M/S Sumaiya Enterprise( Billal loader),,,Keranigonj
M/S Chittagong Steel,,,"Maleget, Tongi"
M/S Siddik Enterprise,,,"Jamgora, Ashulia"
M/S Shuvo Enterprise,,,"Norshighopur,Ashulia"
M/S Banna Enterprise,,,"Jamgora,Savar"
M/S Mirddha Enterprise,,,"Kashimpur, Gazipur"
M/S Taskiya Enterprise,,,"Boliapur, Savar"
M/S Miraz Enterprise,,,"Jamgora, Savar"
M/S Hazi Steel banijjaloy,,,"Asulia Bazar, Ashulia"
M/S Fatema Steel and Hardware,,,"Asulia Bazar, Ashulia"
M/S Rodhro Enterprise,,,"Selmon bazar, Tongi"
M/S Ceramic ,,,Mirpur
M/S- S.K Traders,,,Mohammadpur
M/S Bismilla Genaral store (Momin),,,"Goran chatbari, Lalatek, Mirpur-1"
M/S RF traders 2 (Mohon),,,"145, vasantek, Dhaka Cantonment"
M/S Khan Enterprise,,,"Boadbazar, Gazipur"
M/S Nihad Motors ,,,"Ponsopoti,Diyabari"
M/S Iqbal Telecom,,,"Manikdi, Nama para"
M/S Rashed Telecom,,,"Kalshi, Mirpur"
M/S Farazi Enterprise,,,"Kalshi, Mirpur"
M/S Munshi Enterprise,,,"Kalshi, Mirpur"
M/S Nurullapur Enterprise,,,Near of ceramics
M/S- S.S Enterprise,,,"Manikdi, Nama para"
M/S Shohid Enterprise,,,"Manikdi, Nama para"
M/S Samsul Enterprise,,,"Manikdi, "
M/S Tamanna Enterprise,,,"Manikdi, "
M/S Habib Telecome,,,"Manikdi, "
M/S Taizul Enterprise,,,"Kalshi Road, behari camp"
M/S Rony Enterprise,,,Begun tola
M/S M.M.T Enterprise,,,Tamanna gate
M/S Lamiya Enterprise,,,"Jamgora, Ashulia"
M/S Rafin Enterprise,,,Diya bari
M/S Harun Enterprise,,,Shewapara
M/S Imo Zihad Enterprise,,,"Tinset, Mirpur-14"
M/S Rajdhani Enterprise,,,Shawrapara
M/S Popular Lp Gas,,,Shawrapara
M/S Rana Store,,,Laltech
M/S Anondho Enterprise,,,Mirpur-1
M/S Nahid Enterprise,,,"Pukurpar, Ashulia"
M/S Bismilla Enterprise -1,,,Mirpur-1
M/S Al- Amin Enterprise (Marzan),,,North badda
M/S Khaza Enterprise,,,RF Traders
M/S Sunka Enterprise,,,Mirpur-6
M/S Lazz LPG,,,Diyabari
M/S A.R Traders,,,Kazipara-Mirpur-10
Md. Khokon ,,,RF Traders
Md. Babu mia,,,Loader of RF Traders
Md. Mozibur Rahman,,,RF Traders
M/S Vai Vai Sanitery and Hardware,,,Shiyalbari-Mirpur-2
M/S Sumaiya Enterprise-2,,,Shiyalbari-Mirpur-2
M/S Vandary Enterprise,,,Housing
Alom driver,,,Mongla
Mahmudul,,,RF Traders
M/S Parvez enterprise (Cha kaka),,,Tamanna gate
Masud Driver,,,RF Traders
M/S Dhaka Enterprise,,,"Laltech, Chatbari"
M/S Rustam Enterprise,,,Mirpur -2
Bahar vie,,,"Rupnagar, Mirpur-2"
M/S Fatema corporation,,,"Kalshi road, Mirpur"
M/S Lucky senatery,,,"Kosukhet,"
M/S Boshundhara Hardware,,,"Kosukhet,"
M/S Chandpur Hardware,,,"Kosukhet,"
M/S Mohasin Enterprise,,,Mirpur-13
M/S Tahmid Enterprise,,,"Kalsi, Mirpur"
M/S Anas Enterprise,,,Shagupta mor
M/S Islam LP Gas,,,"Rupnagar, Mirpur-2"
M/S Mim Enterprise,,,"Pallobi, Mirpur,13"
M/S Riaz Enterprise,,,Ibrahimpur
M/S Labib Enterprise,,,"Baunia, Tongi"
M/S Ali Zakir Enterprise,,,"Ulodana, Tongi"
M/S R.S Enterprise,,,Mirpur-1
M/S Mim LP Gas 2,,,Tongi
M/S Arman Oxizen,,,"Gabtili, Mirpur"
M/S Bismilla Enterprise -2( Nuralam),,,Vasantech
M/S Ripon Enterprise,,,"Kalsi, Mirpur"
REGULATOR CUSTOMER DUES,,,
Maliha-(Regulator),,,
Arif -Gazipur.JSR (Regulator),,,
Hossain Traders(Regulator),,,
S. M Trading(Regulator),,,
Comilla showroom(Regulator),,,
Janani Entp.(Regulator),,,Choddhogram
Hasan Enterprise High.p.(Regulator),,,Boliyapur
Ruma Cycle(Regulator),,,
Pilot store by samiul(Regulator),,,Shariotpur
Shordhar entp by samiul(Regulator),,,Madaripur
Uzzal traders by samiul(Regulator),,,Madaripur
Kamruzzaman by samiul(Regulator),,,zinydah
Shaha & Brothers by motaleb(Regulator),,,Kurigram
Janata Store by Motaleb(Regulator),,,Kurigram
Ruhul Traders by Motaleb(Regulator),,,Gaibandha
Milon Entp. By Motaleb(Regulator),,,Gaibandha
Shawdagor store by Motaleb(Regulator),,,
Rafiqul islam by Adom sapiullah(Regulator),,,
Saba Trading agency- sapiulla(Regulator),,,pabna
Tohidul haq by sapiulla(Regulator),,,Rajshahi
Hazi delowar by sapiullah(Regulator),,,
Nayem traders by samiul(Regulator),,,serajgonj
City cosmetic by adom sap(Regulator),,,pabna
Bismilla entp.by adom safi(Regulator),,,Rajshahi
Siddik Electronic-adom safi(Regulator),,,Nator
Asha Enterprise- adom safi(Regulator),,,pabna
Bondon Traders(old regulator due),,,
Almadina  Enter (old Regulator due),,,
Sumon Enterprise,,,
M/S Redwan Trade International,,,Haziganj
Kamal Patwary,,,Manikdi
M/S Golam Hossain,,,Uttora
M/S Omith Hasan ,,,60 feet
Md. Bahar vai,,,Mirpur-2
M/S Sakib Enterprise,,,
M/S Mamun,,,Vasantech
M/S Mysha Fashion,,,Savar
